,City,State,quantity score,business score,Cost of Living Index,Bucket
117,Grand Junction,Colorado,0.02,0.23,98.1,1
118,Dallas,Texas,2.9,3.8,98.5,1
119,Allentown,Pennsylvania,0.02,0.19,98.9,1
120,Wilmington,North Carolina,0.31,3.8,99.0,1
121,Jacksonville,Arkansas,0.3,2.3,99.0,1
122,Virginia Beach,Virginia,0.2,0.98,99.0,1
123,Madison,New Jersey,0.69,3.8,99.5,1
124,Lancaster,Ohio,0.03,0.33,99.5,1
125,Traverse City,Michigan,0.06,0.35,99.6,1
126,Raleigh,North Carolina,1.09,3.58,99.7,1
127,State College,Pennsylvania,0.04,0.28,99.8,1
128,Chicago,Illinois,4.37,3.8,100.1,2
129,Nashville,Tennessee,0.76,3.8,100.1,2
130,Atlanta,Georgia,2.59,3.8,100.3,2
131,Spokane,Washington,0.1,0.64,100.4,2
132,Las Vegas,Nevada,1.01,3.8,100.7,2
133,Provo,Utah,0.42,3.8,100.9,2
134,Dover,Delaware,0.08,0.76,101.3,2
135,Tampa,Florida,0.83,3.8,101.4,2
136,Orlando,Florida,0.84,3.8,101.4,2
137,Fort Myers,Florida,0.17,0.98,101.5,2
138,Ithaca,New York,0.08,0.5,101.7,2
139,Panama City,Florida,0.02,0.19,101.9,2
140,Atlantic City,New Jersey,0.01,0.14,102.0,2
141,Charlottesville,Virginia,0.04,0.54,102.1,2
142,Colorado Springs,Colorado,0.21,1.39,102.2,2
143,Bakersfield,California,0.02,0.61,102.9,2
144,Carson City,Nevada,0.02,0.31,103.0,2
145,Asheville,North Carolina,0.12,0.64,103.3,2
146,Philadelphia,Pennsylvania,1.7,3.8,103.4,2
147,Missoula,Montana,0.05,0.43,103.4,2
148,Phoenix,Arizona,1.58,3.8,104.3,2
149,Sarasota,Florida,0.19,1.06,104.4,2
150,Hartford,Connecticut,0.22,1.55,104.8,2
151,Santa Fe,New Mexico,0.06,0.46,105.1,2
152,Minneapolis,Minnesota,1.12,3.8,105.4,2
153,Salt Lake City,Utah,0.77,3.19,105.9,2
154,Fresno,California,0.06,1.28,105.9,2
155,Austin,Texas,3.2,3.8,106.6,2
156,Baltimore,Maryland,0.92,3.8,107.0,2
157,Reno,Nevada,0.18,0.95,107.4,2
158,Medford,Oregon,0.02,0.47,107.5,2
159,New Haven,Connecticut,0.16,2.1,107.7,2
160,Concord,Missouri,0.04,0.35,108.3,2
161,Eugene,Oregon,0.04,0.37,108.4,2
162,Redding,California,0.02,0.18,108.7,2
163,Fort Collins,Colorado,0.17,1.43,109.2,2
164,Manchester,New Hampshire,0.05,0.44,109.6,2
165,Shelton,Connecticut,0.01,0.12,109.6,2
166,Miami,Florida,3.21,3.8,110.1,2
167,Chico,California,0.03,0.19,110.5,2
168,Corvallis,Oregon,0.09,0.65,110.6,2
169,Anchorage,Alaska,0.08,0.63,110.7,2
170,Providence,Rhode Island,0.21,1.34,111.5,2
171,Bellingham,Washington,0.02,0.14,111.6,2
172,Denver,Colorado,2.36,3.8,112.1,2
173,Modesto,California,0.02,0.16,112.3,2
174,Portland,Oregon,1.38,3.8,113.0,2
175,Worcester,Massachusetts,0.06,0.72,113.2,2
176,Stockton,California,0.02,0.17,113.6,2
177,Bend,Oregon,0.1,3.21,115.9,2
178,Boulder,Colorado,1.32,3.8,118.7,2
179,Washington,DC,3.47,3.8,120.1,3
180,Sacramento,California,0.5,3.8,120.3,3
181,Seattle,Washington,3.49,3.8,124.6,3
182,Bozeman,Montana,0.04,0.28,125.3,3
183,New York,New York,11.43,3.8,128.0,3
184,Boston,Massachusetts,5.5,3.8,132.6,3
185,Truckee,California,0.02,0.22,132.8,3
186,San Luis Obispo,California,0.06,0.43,136.1,3
187,San Diego,California,2.64,3.8,136.2,3
188,Salinas,California,0.01,0.1,138.3,3
189,Los Angeles,California,11.23,3.8,140.6,4
190,Santa Rosa,California,0.08,0.46,141.7,4
191,Napa,California,0.03,0.23,149.6,4
192,Honolulu,Hawaii,0.22,0.99,158.0,4
193,Santa Cruz,California,0.23,3.8,163.9,5
194,San Francisco,California,29.14,3.8,178.6,5
