Index,City,quatity score,business score,Cost of Living Index,Bucket
13,Philadelphia,1.7,3.8,103.4,2
114,Missoula,0.05,0.43,103.4,2
16,Phoenix,1.58,3.8,104.3,2
72,Sarasota,0.19,1.06,104.4,2
58,Hartford,0.22,1.55,104.8,2
108,Santa Fe,0.06,0.46,105.1,2
15,Minneapolis,1.12,3.8,105.4,2
20,Salt Lake City,0.77,3.19,105.9,2
67,Fresno,0.06,1.28,105.9,2
6,Austin,3.2,3.8,106.6,2
35,Baltimore,0.92,3.8,107,2
76,Reno,0.18,0.95,107.4,2
107,Medford,0.02,0.47,107.5,2
52,New Haven,0.16,2.1,107.7,2
129,Concord,0.04,0.35,108.3,2
126,Eugene,0.04,0.37,108.4,2
193,Redding,0.02,0.18,108.7,2
61,Fort Collins,0.17,1.43,109.2,2
112,Manchester,0.05,0.44,109.6,2
255,Shelton,0.01,0.12,109.6,2
12,Miami,3.21,3.8,110.1,2
191,Chico,0.03,0.19,110.5,2
89,Corvallis,0.09,0.65,110.6,2
92,Anchorage,0.08,0.63,110.7,2
64,Providence,0.21,1.34,111.5,2
241,Bellingham,0.02,0.14,111.6,2
11,Denver,2.36,3.8,112.1,2
216,Modesto,0.02,0.16,112.3,2
19,Portland,1.38,3.8,113,2
83,Worcester,0.06,0.72,113.2,2
209,Stockton,0.02,0.17,113.6,2
46,Bend,0.1,3.21,115.9,2
22,Boulder,1.32,3.8,118.7,2
7,Washington,3.47,3.8,120.1,3
30,Sacramento,0.5,3.8,120.3,3
4,Seattle,3.49,3.8,124.6,3
147,Bozeman,0.04,0.28,125.3,3
1,New York,11.43,3.8,128,3
3,Boston,5.5,3.8,132.6,3
177,Truckee,0.02,0.22,132.8,3
113,San Luis Obispo,0.06,0.43,136.1,3
8,San Diego,2.64,3.8,136.2,3
265,Salinas,0.01,0.1,138.3,3
2,Los Angeles,11.23,3.8,140.6,4
109,Santa Rosa,0.08,0.46,141.7,4
174,Napa,0.03,0.23,149.6,4
73,Honolulu,0.22,0.99,158,4
38,Santa Cruz,0.23,3.8,163.9,5
0,San Francisco,29.14,3.8,178.6,5
26,Santa Barbara,0.25,3.8,,
55,Boise,0.13,1.74,,
57,Princeton,0.26,1.61,,
59,Birmingham-Hoover,0.23,1.51,,
88,Franklin,0.09,0.67,,
96,Lewes,0.07,0.57,,
98,Annapolis,0.1,0.55,,
101,Marietta,0.1,0.53,,
106,New Brunswick,0.08,0.47,,
116,Livermore,0.05,0.41,,
118,Nashua,0.03,0.41,,
120,West Chester,0.05,0.4,,
122,Frederick,0.07,0.39,,
123,Westport,0.06,0.39,,
125,Davis,0.03,0.37,,
128,Edison,0.05,0.36,,
130,San Rafael,0.05,0.35,,
138,Petaluma,0.04,0.32,,
139,Brookline,0.01,0.32,,
144,Bethlehem,0.04,0.29,,
146,Chatham,0.02,0.29,,
148,Durango,0.03,0.28,,
152,Leesburg,0.03,0.27,,
157,Sheridan,0.02,0.26,,
158,Bentonville,0.03,0.25,,
160,Middletown,0.02,0.25,,
161,Danbury,0.01,0.25,,
164,Suwanee,0.04,0.24,,
165,Marlborough,0.02,0.23,,
166,Novato,0.03,0.23,,
168,Brentwood,0.02,0.23,,
169,Newport News,0.04,0.23,,
170,Manassas,0.02,0.23,,
171,Murrieta,0.03,0.23,,
172,Laguna Niguel,0.02,0.23,,
178,Monterey,0.02,0.21,,
182,Astoria,0.02,0.2,,
184,Newport,0.02,0.19,,
186,Schenectady,0.02,0.19,,
195,Temecula,0.03,0.17,,
197,Poughkeepsie,0.01,0.17,,
199,Sonoma,0.02,0.17,,
201,Issaquah,0.02,0.17,,
203,Holmdel,0.02,0.17,,
205,Fulton,0.01,0.17,,
210,Palm Springs,0.01,0.17,,
