Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
109,"Oklahoma City, OK, United States",64.98,31.82,49.43,69.87,57.87,127.94
110,"Toledo, OH, United States",64.57,22.9,45.02,64.69,63.55,90.93
112,"Cincinnati, OH, United States",64.42,39.72,52.83,64.16,63.86,125.17
113,"Tucson, AZ, United States",64.38,27.65,47.15,61.83,65.99,83.68
114,"Houston, TX, United States",64,43.39,54.33,61.17,67.56,174.91
115,"Mesa, AZ, United States",63.6,32.97,49.23,63.12,72.19,103.52
116,"Albuquerque, NM, United States",63.48,33.89,49.6,64.51,64.18,122.42
117,"Lexington, KY, United States",62.96,29.25,47.15,69.11,55.75,102.39
118,"San Antonio, TX, United States",62.63,38.26,51.2,57.18,69.57,138.57
119,"Tulsa, OK, United States",62.39,28.9,46.68,58.81,60.58,132.04
120,"Memphis, TN, United States",62.32,34.9,49.46,58,69.66,109.94
121,"Akron, OH, United States",62.24,22.89,43.78,63.47,55.65,102.88
122,"Little Rock, AR, United States",59.3,25.59,43.49,57.2,64.74,131.06
123,"Wichita, KS, United States",58.96,24.25,42.68,53,57.51,119.23
124,"El Paso, TX, United States",55.95,23.16,40.57,54.38,48.26,118.75
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
